Adventurer	36 34 34 37 36 43 44 45 46 45 46 46 45 45 45 43 41 45 44 43 43 43
Advisor	31 30 30 31 29 31 27 29 31 29 31 31 29 31 31 29 28 29 28 31 31 31
Air Mage (Fire&Ice)	55 54 54 55 53 33 30 34 33 29 34 30 28 32 29 33 31 34 32 33 33 34
Amateur Mage (EssCo)	50 49 48 49 45 33 33 33 33 31 33 31 31 31 30 33 33 33 33 33 33 33
Amateur Mage	50 45 43 48 34 25 25 25 25 22 25 22 22 22 22 25 25 25 25 25 25 25
Animal Friend	28 28 25 30 30 40 34 41 40 37 39 39 36 41 37 36 27 39 37 39 40 41
Animal Handler (EssCo)	11 18 11 18 18 23 23 23 23 23 18 23 23 23 23 23 11 23 23 23 23 23
Antagonist	25 24 24 25 25 28 19 26 28 27 28 27 24 28 27 27 26 28 24 27 28 28
Apothecary	22 22 22 22 20 20 20 20 20 20 20 20 20 18 20 20 20 20 20 20 20 20
Arachnamancer (EssCo)	35 34 33 36 37 43 40 38 42 39 39 42 42 39 40 42 39 39 42 41 42 39
Archaeologist	35 33 33 35 29 29 24 29 29 25 29 28 25 27 28 28 27 28 28 29 29 29
Architect	26 26 26 26 26 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25
Arms Instructor (MarCo)	26 32 29 44 36 56 58 58 59 59 59 59 59 54 59 50 50 50 53 53 53 52
Artificer	50 48 48 50 42 30 30 30 30 26 30 26 26 26 26 30 30 30 30 30 30 30
Assassin	26 19 23 29 30 51 48 50 51 49 51 50 47 49 49 48 45 49 49 49 49 49
Astronomer	34 34 34 34 29 29 28 29 29 29 29 29 28 27 29 27 25 27 29 29 29 29
Athlete (HardKnocks)	23 25 23 24 25 29 37 37 38 37 38 37 38 37 38 34 32 34 34 35 35 34
Beastmaster (MentCo)	35 37 34 39 39 45 41 45 45 43 42 43 42 45 43 42 32 44 43 43 45 45
Berserker	29 35 34 41 37 56 59 59 59 59 59 59 59 53 59 52 51 52 54 50 50 49
Bherscheurkum (Dwarf Berserker)	36 43 40 50 45 55 60 60 61 62 62 62 62 55 62 57 56 57 58 54 53 52
Bhourdirrim (Dwarf "Woodwise")	33 29 29 35 34 46 39 46 46 45 46 45 44 44 45 38 30 39 41 44 45 45
Blind Fighter (Troglodyte)	46 48 47 36 46 52 55 56 57 57 57 57 57 56 57 54 53 54 55 52 52 52
Boarsaddler (Hobgoblin Boar Rider)	31 40 36 43 41 58 61 61 61 61 61 61 61 57 61 54 52 53 56 55 56 54
Bodyguard (MarCo)	21 24 21 33 27 42 43 45 48 47 48 48 47 42 48 37 37 37 40 41 40 39
Breliss Archer (Kobold)	17 24 22 27 26 46 48 48 48 48 48 48 48 44 48 39 36 39 43 43 43 41
Brelissker (Hobgoblin Boar-Serpent Rid	33 42 38 45 43 58 60 60 60 60 59 60 60 58 60 54 52 54 56 57 57 56
Burglar	24 18 21 25 25 38 37 34 37 35 35 37 38 34 35 34 36 36 35 34 36 31
Caravan Guard (MarCo)	29 32 29 40 31 41 41 45 47 46 46 47 46 40 47 39 35 39 42 42 40 39
Catalyst Collector (EssCo)	20 20 20 23 22 29 28 29 29 29 29 29 29 25 29 25 23 25 27 27 27 26
Cavalier (HardKnocks)	25 27 26 29 29 43 41 41 43 43 43 43 43 39 43 36 35 36 36 39 39 38
Chamberlain (HardKnocks)	25 24 24 27 25 27 24 25 27 27 27 27 27 27 27 27 28 27 25 27 27 27
Chancellor (ChanCo)	56 53 51 54 46 35 32 33 35 34 35 34 34 34 34 35 35 35 33 35 35 35
Chaplain	28 27 28 28 26 24 20 21 24 24 24 24 23 24 24 24 24 24 21 24 24 24
Charlatan (MentCo)	32 29 30 32 32 37 29 33 36 34 36 35 34 35 34 35 33 35 33 35 37 35
Chi Master (MarCo)	39 39 39 29 41 51 53 56 57 58 58 58 58 58 58 53 53 53 57 43 43 43
City Guard	19 21 20 27 24 35 38 39 39 39 39 39 39 32 39 32 32 32 35 34 34 32
Clerihew (Gnoll Minstrel)	57 55 54 56 52 32 29 31 32 31 32 31 28 31 30 32 32 32 31 32 32 32
Cloaker Of Clans (Gnoll)	58 56 55 57 53 41 36 41 41 37 41 39 37 40 36 39 35 40 40 40 41 41
Cloistered Academic	31 31 30 31 27 24 22 24 24 21 24 24 21 24 24 24 24 24 24 24 24 24
Cloistered Zealot	31 31 31 29 28 28 28 30 31 31 33 33 31 33 33 31 31 31 30 29 29 29
Collector (Gnome)	53 50 51 53 44 33 33 33 33 27 33 27 27 27 27 33 33 33 33 33 33 33
Con Man	22 18 18 23 22 29 19 28 29 27 30 28 25 30 27 27 24 29 25 28 29 30
Conjuror (ArcCo)	51 49 46 49 39 29 29 29 29 28 29 28 28 28 28 29 29 29 28 29 29 29
Corpist Caster (EssCo)	22 22 22 22 22 17 17 17 17 17 17 17 17 17 17 16 15 16 17 17 17 17
Court Magician	50 50 47 48 44 32 28 31 32 32 32 32 29 32 31 32 32 32 31 32 32 32
Crafter	24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
